code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
CFA AR 836,Print Media & Photo Special Topics Seminars 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 837,Print Media & Photo Thesis Seminar 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 838,Professional Practice in Print Media and Photography 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 841,Graduate Painting 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 842,Graduate Painting 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 843,Seminar and Discussion 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 844,Seminar and Discussion 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 845,Painting Seminar and Discussion 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 846,Painting Seminar and Discussion 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 847,Graduate Painting 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 848,Graduate Painting 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 855,Special Topics: Visual Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 856,PMP Critique 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 857,PMP Critique 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 858,PMP Critique 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 859,PMP Critique 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 881,Graduate Graphic Design 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 882,Graduate Graphic Design 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 883,Graduate Graphic Design 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 884,Graduate Graphic Design 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 890,Masters Research Project: Becoming a Practitioner-Researcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 892,Masters Research Project: Arts-Based Research and Practices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 961,Directed Study in Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 962,Directed Study in Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 982,Directed Study: Sculpture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 983,Directed Study: Graphic Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 984,Directed Study: Graphic Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA DA 190,"Dances Styles of the African Diaspora (Jazz, Tap, Hip Hop, Afro-Fusion)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA DA 290,Dance and Somatic Inquiry: Contemporary and Improvisation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA DA 390,Intermediate Technique Traditional Forms (Ballet & Historic Modern),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA DA 400,Performance and Repertory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA FA 100,"Doing, Making & Knowing: The CFA Experience",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA FA 350,Arts By The Numbers,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CFA FA 510,Art Leaders Forum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA FA 520,Career Development in the Arts,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
CFA FA 550,Arts Internship,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CFA ME 203,Introduction to Music Teaching and Learning,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA ME 306,Elementary General Music Methods,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CFA ME 307,Secondary General Music Methods,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
