code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
MET BI 366,"Neuroscience of Human Cognition: Imagination, Language, and Consciousness",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MET BI 407,Animal Behavior (EBE),1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
MET BI 491,Research in Biology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET BI 492,Research in Biology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CH 101,General Chemistry 1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CH 102,General Chemistry 2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CH 171,Principles of General Chemistry,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CH 172,Principles of Organic and Biochemistry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CH 203,Organic Chemistry 1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CH 204,Organic Chemistry 2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CH 351,Physical Chemistry I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CH 352,Physical Chemistry II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CH 373,Principles of Biochemistry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CH 421,Biochemistry I,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
MET CH 422,Biochemistry 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
MET CJ 101,Principles of Criminal Justice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 209,Crime and Delinquency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 251,Police and Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 271,Corrections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 300,Applied Social Science Theory,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
MET CJ 305,Violence in the Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 344,Drugs and Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 351,Criminal Law,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 352,"Courts, Society, and Criminal Procedure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 420,Directed Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 510,Special Topics in Criminal Justice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 511,Rehabilitation and Re-Integration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 512,Sexual Violence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 520,Violence and Trauma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 531,Youth Crime Problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 570,Criminology and Crime Policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET CJ 571,Criminal Justice Administration and Ethics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
