code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
CFA TH 139,20th Century Dance History,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA TH 157,Introduction to Design 1: Storytelling and Collaboration for Live Performance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA TH 158,Introduction to Design 2: 2D & 3D Design Fundamentals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CFA TH 165,DP&M Community Forum 1: Discovering Theatre through History,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CFA TH 166,DP&M Community Forum 2: Contemporary Theatre Makers,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CFA TH 171,Language & Craft of Theatre 1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CFA TH 172,Language & Craft of Theatre 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA TH 173,2D Drafting and Visual Communication 1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA TH 205,Dramatic Literature 2: 1850 to 1950,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
CFA TH 206,Dramatic Literature 3: 1950 to the Millennium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
CFA TH 213,"Voice and Speech 4: Accents, Dialects, and Sociolects",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA TH 228,Dramatic Writing 2: Adaptation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CFA TH 239,Aesthetic and Philosophy of Dance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA TH 240,Beginning Directing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA TH 257,Scenography 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CFA TH 279,Costume Production 1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA TH 292,Costume Production 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CFA TH 299,Stage Management 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA TH 303,Playwriting 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CFA TH 307,History of Period Styles 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA TH 318,Automated Lighting Technology,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CFA TH 331,Movement 5: 360 Physical Storytelling,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CFA TH 352,Technical Production 2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
